msj_ort;TAG;msj_stemm;msj_noplural;msj_noemoji;msj_emoji
como rompe huevos porque ellos esten auto   pasen importe si mojan no   dia lluvia   pelotudos egoistas   ;1;com romp huev porqu ellos esten aut pas import si moj no dia lluvi pelotud egoist;como rompe huevo porque ello esten auto pasen importe si mojan no dia lluvia pelotudo egoista;como rompe huevos porque ellos esten auto pasen importe si mojan no dia lluvia pelotudos egoistas;                               
lluvias tormentas inicio semana    ;1;lluvi torment inici seman;lluvia tormenta inicio semana;lluvias tormentas inicio semana;       
hace   dias viene indicando lluvia pronostico celular  hasta lluvia nos robaron  hdp  asco humedad        ;1;hac dias vien indic lluvi pronost celul hast lluvi nos rob hdp asco humed;hace dia viene indicando lluvia pronostico celular hasta lluvia no robaron hdp asco humedad;hace dias viene indicando lluvia pronostico celular hasta lluvia nos robaron hdp asco humedad;                           
al menos hasta enero mantendria tendencia con lluvias encima normal    ;1;al men hast ener mantendri tendenci con lluvi encim normal;al meno hasta enero mantendria tendencia con lluvia encima normal;al menos hasta enero mantendria tendencia con lluvias encima normal;                   
los pueblos afectados lluvias malaga  sevilla cadiz  declarados zona emergencia  ;1;los puebl afect lluvi malag sevill cadiz declar zon emergent;lo pueblo afectado lluvia malaga sevilla cadiz declarado zona emergencia;los pueblos afectados lluvias malaga sevilla cadiz declarados zona emergencia;                   
 llegue mas rapido rayo macqueen ;0;lleg mas rap ray macqu;llegue mas rapido rayo macqueen;llegue mas rapido rayo macqueen;         
 argentina duerme espera cambio vamos buen camino  lluvias tormentas  hipocritas mentirosos vende patria  \U0001f621 \U0001f621 \U0001f621 \U0001f621 \U0001f621 ;0;argentin duerm esper cambi vam buen camin lluvi torment hipocrit mentir vend patri \u0001f621 \u0001f621 \u0001f621 \u0001f621 \u0001f621;argentina duerme espera cambio vamo buen camino lluvia tormenta hipocrita mentiroso vende patria \u0001f621 \u0001f621 \u0001f621 \u0001f621 \u0001f621;argentina duerme espera cambio vamos buen camino lluvias tormentas hipocritas mentirosos vende patria          ;                          \U0001f621 \U0001f621 \U0001f621 \U0001f621 \U0001f621
esta cayendo pequeño granizo   traigan fernet ;1;esta cayend pequeñ graniz traig fernet;esta cayendo pequeño granizo traigan fernet;esta cayendo pequeño granizo traigan fernet;           
me voy dormir con ruido lluvia ;1;me voy dorm con ruid lluvi;me voy dormir con ruido lluvia;me voy dormir con ruido lluvia;           
loco manera sufrir ni quiero imaginar hinchas fueron hasta bombonera lluvia suspenda queres matar lluvia mierda ;1;loc maner sufr ni quier imagin hinch fueron hast bomboner lluvi suspend quer mat lluvi mierd;loco manera sufrir ni quiero imaginar hincha fueron hasta bombonera lluvia suspenda quere matar lluvia mierda;loco manera sufrir ni quiero imaginar hinchas fueron hasta bombonera lluvia suspenda queres matar lluvia mierda;                               
hijos puta los dias lluvia  pasan auto rapido orilla mojan pobre pelotudo va pata  ;0;hij put los dias lluvi pas aut rap orill moj pobr pelotud va pat;hijo puta lo dia lluvia pasan auto rapido orilla mojan pobre pelotudo va pata;hijos puta los dias lluvia pasan auto rapido orilla mojan pobre pelotudo va pata;                           
justo hoy tenia haber tormenta lpm ;1;just hoy teni hab torment lpm;justo hoy tenia haber tormenta lpm;justo hoy tenia haber tormenta lpm;           
si no llueve hoy quilombo va armar ;0;si no lluev hoy quilomb va armar;si no llueve hoy quilombo va armar;si no llueve hoy quilombo va armar;             
basta  ;0;bast;basta;basta; 
sos amor vida honda tornado lastima nunca voy tener  \U0001f494 ;0;sos amor vid hond torn lastim nunc voy ten \u0001f494;so amor vida honda tornado lastima nunca voy tener \u0001f494;sos amor vida honda tornado lastima nunca voy tener  ;                  \U0001f494
 genia idola crack  voy estar apuntado rayos lasers toda noche ;0;geni idol crack voy estar apunt ray lasers tod noch;genia idola crack voy estar apuntado rayo laser toda noche;genia idola crack voy estar apuntado rayos lasers toda noche;                   
cosas lindas estar acostado escuchando como llueve ;1;cos lind estar acost escuch com lluev;cosa linda estar acostado escuchando como llueve;cosas lindas estar acostado escuchando como llueve;             
hace    minutos facundo deberia estar casa todavia no llego  tormenta  acompañenme ver triste historia  ;1;hac minut facund deberi estar cas todavi no lleg torment acompañenm ver trist histori;hace minuto facundo deberia estar casa todavia no llego tormenta acompañenme ver triste historia;hace minutos facundo deberia estar casa todavia no llego tormenta acompañenme ver triste historia;                           
perdon eh  pero si suspenden final epica  lluvia  tienen ir todos mierda  si hay algo hace bien futbol  no vea ni bosta agua    ;1;perdon eh per si suspend final epic lluvi tien ir tod mierd si hay algo hac bien futbol no vea ni bost agu;perdon eh pero si suspenden final epica lluvia tienen ir todo mierda si hay algo hace bien futbol no vea ni bosta agua;perdon eh pero si suspenden final epica lluvia tienen ir todos mierda si hay algo hace bien futbol no vea ni bosta agua;                                             
justo cuando tengo ir trabajar llueve con todo ip  \U0001f622 ;1;just cuand teng ir trabaj lluev con tod ip \u0001f622;justo cuando tengo ir trabajar llueve con todo ip \u0001f622;justo cuando tengo ir trabajar llueve con todo ip  ;                  \U0001f622
escuchaba ruido pero lluvia no daba cuenta era  poco mas explotaba pava ;1;escuch ruid per lluvi no dab cuent era poc mas explot pav;escuchaba ruido pero lluvia no daba cuenta era poco mas explotaba pava;escuchaba ruido pero lluvia no daba cuenta era poco mas explotaba pava;                       
no tiene sentido lluvia si no tenes nadie con quien conchear \U0001f923 ;1;no tien sent lluvi si no ten nadi con qui conch \u0001f923;no tiene sentido lluvia si no tene nadie con quien conchear \u0001f923;no tiene sentido lluvia si no tenes nadie con quien conchear  ;                      \U0001f923
hay algo mas lindo dormir con lluvia  ;0;hay algo mas lind dorm con lluvi;hay algo mas lindo dormir con lluvia;hay algo mas lindo dormir con lluvia;             
 argentina   ballesteros  tambo derrumbado fuerte tormenta madrugada     ;1;argentin ballester tamb derrumb fuert torment madrug;argentina ballestero tambo derrumbado fuerte tormenta madrugada;argentina ballesteros tambo derrumbado fuerte tormenta madrugada;             
 hola buen dia polaca   todo lindo menos  lluvia   dias van abrazo   sigo cuenta otra   \U0001f60e \U0001f602 \U0001f602 \U0001f602 \U0001f602 ;1;hol buen dia polac tod lind men lluvi dias van abraz sig cuent otra \u0001f60 \u0001f602 \u0001f602 \u0001f602 \u0001f602;hola buen dia polaca todo lindo meno lluvia dia van abrazo sigo cuenta otra \u0001f60e \u0001f602 \u0001f602 \u0001f602 \u0001f602;hola buen dia polaca todo lindo menos lluvia dias van abrazo sigo cuenta otra          ;                            \U0001f60e \U0001f602 \U0001f602 \U0001f602 \U0001f602
che lluvia  lpm ;0;che lluvi lpm;che lluvia lpm;che lluvia lpm;     
 bueno ahora nublo capaz si hiciste danza lluvia ;1;buen ahor nubl capaz si hic danz lluvi;bueno ahora nublo capaz si hiciste danza lluvia;bueno ahora nublo capaz si hiciste danza lluvia;               
que cosa bien truenos ;1;que cos bien truen;que cosa bien trueno;que cosa bien truenos;       
alguien ve america  ahi tienen todos pelotudos aman lluvia   porque viven lugar no sufren inundaciones  no pierden pocas cosas materiales tienen  no mueren ahogados como bebe   meses  no tienen dormir colchones mojados  abran ojos  ;0;algui ve amer ahi tien tod pelotud aman lluvi porqu viv lug no sufr inund no pierd poc cos material tien no muer ahog com beb mes no tien dorm colchon moj abran ojos;alguien ve america ahi tienen todo pelotudo aman lluvia porque viven lugar no sufren inundacione no pierden poca cosa materiale tienen no mueren ahogado como bebe mese no tienen dormir colchone mojado abran ojo;alguien ve america ahi tienen todos pelotudos aman lluvia porque viven lugar no sufren inundaciones no pierden pocas cosas materiales tienen no mueren ahogados como bebe meses no tienen dormir colchones mojados abran ojos;                                                                   
un sabado esos tormenta hace especial  uno quiera dormir con piernas  \U0001f648 ;1;un sab esos torment hac especial uno quier dorm con piern \u0001f648;un sabado eso tormenta hace especial uno quiera dormir con pierna \u0001f648;un sabado esos tormenta hace especial uno quiera dormir con piernas  ;                      \U0001f648
la tormenta hdp caga todo ;1;la torment hdp cag tod;la tormenta hdp caga todo;la tormenta hdp caga todo;         
lluvia siesta  ;1;lluvi siest;lluvia siesta;lluvia siesta;   
con lluvia dormir con vs ;1;con lluvi dorm con vs;con lluvia dormir con v;con lluvia dormir con vs;         
domingo  lluvia  casa papel block  \u2764  \u2764  \u2764  \u2764  ;1;doming lluvi cas papel block \u2764 \u2764 \u2764 \u2764;domingo lluvia casa papel block \u2764 \u2764 \u2764 \u2764;domingo lluvia casa papel block        ;          \u2764 \u2764 \u2764 \u2764
   charly  sabes tormenta cayo eucalipto rural mato dos nenes  politica miserias humanas  ;1;charly sab torment cay eucalipt rural mat dos nen polit miseri human;charly sabe tormenta cayo eucalipto rural mato do nene politica miseria humana;charly sabes tormenta cayo eucalipto rural mato dos nenes politica miserias humanas;                       
el viento ruge hay tormenta interior ;0;el vient rug hay torment interior;el viento ruge hay tormenta interior;el viento ruge hay tormenta interior;           
cuando veo relampago ilumina todo despues suena trueno despacito como alta decepcion yo queria truenaso ;1;cuand veo relampag ilumin tod despu suen truen despacit com alta decepcion yo queri truenas;cuando veo relampago ilumina todo despue suena trueno despacito como alta decepcion yo queria truenaso;cuando veo relampago ilumina todo despues suena trueno despacito como alta decepcion yo queria truenaso;                             
demasiada lluvia gusto  \U0001f614 ;1;demasi lluvi gust \u0001f614;demasiada lluvia gusto \u0001f614;demasiada lluvia gusto  ;      \U0001f614
miren como llueve yo con mis amigas  \U0001f644 ;1;mir com lluev yo con mis amig \u0001f644;miren como llueve yo con mi amiga \u0001f644;miren como llueve yo con mis amigas  ;              \U0001f644
bueno  canso lluvia ;1;buen cans lluvi;bueno canso lluvia;bueno canso lluvia;     
la lluvia desnuda enorme deuda social ciudad rosario con habitantes  urbanizacion barrios populares debe ser hoy prioridad  mientras tanto  ademas asistencia  necesitan centros evacuados situaciones mas graves    ;1;la lluvi desnud enorm deud social ciud rosari con habit urbanizacion barri popular deb ser hoy priorid mientr tant adem asistent necesit centr evacu situacion mas grav;la lluvia desnuda enorme deuda social ciudad rosario con habitante urbanizacion barrio populare debe ser hoy prioridad mientra tanto adema asistencia necesitan centro evacuado situacione mas grave;la lluvia desnuda enorme deuda social ciudad rosario con habitantes urbanizacion barrios populares debe ser hoy prioridad mientras tanto ademas asistencia necesitan centros evacuados situaciones mas graves;                                                     
 meti pileta con tormenta electrica sigo vivo ;1;meti pilet con torment electr sig viv;meti pileta con tormenta electrica sigo vivo;meti pileta con tormenta electrica sigo vivo;             
lo llueve culiado ;1;lo lluev culi;lo llueve culiado;lo llueve culiado;     
que buena lluvia loco ;1;que buen lluvi loc;que buena lluvia loco;que buena lluvia loco;       
lluvia mas lindo hay \U0001f60d ;0;lluvi mas lind hay \u0001f60d;lluvia mas lindo hay \u0001f60d;lluvia mas lindo hay  ;        \U0001f60d
a dios con esos rayos esos truenos estoy mas desmayada  llamen ;1;a dios con esos ray esos truen estoy mas desmay llam;a dio con eso rayo eso trueno estoy mas desmayada llamen;a dios con esos rayos esos truenos estoy mas desmayada llamen;                     
las tormentas temporales pero bendicion dios siempre ;0;las torment temporal per bendicion dios siempr;la tormenta temporale pero bendicion dio siempre;las tormentas temporales pero bendicion dios siempre;             
me voy dormir temprano  antes pare lluvia  nada mas lindo dormir asi ;1;me voy dorm tempran antes par lluvi nad mas lind dorm asi;me voy dormir temprano ante pare lluvia nada mas lindo dormir asi;me voy dormir temprano antes pare lluvia nada mas lindo dormir asi;                       
maestro     granizo destructivo aca no hubo  si tenemos sunchales burro peruso donde podes pasar hacerte       ;0;maestr graniz destruct aca no hub si ten sunchal burr perus dond pod pas hacert;maestro granizo destructivo aca no hubo si tenemo sunchale burro peruso donde pode pasar hacerte;maestro granizo destructivo aca no hubo si tenemos sunchales burro peruso donde podes pasar hacerte;                             
uh trueno estas mas fuerte patada allanamiento ;0;uh truen estas mas fuert pat allan;uh trueno esta mas fuerte patada allanamiento;uh trueno estas mas fuerte patada allanamiento;             
algun dia voy tener novio dormir juntos dias lluvia  pero paso vamos para voy quedar con mis amigas  ;0;algun dia voy ten novi dorm junt dias lluvi per pas vam par voy qued con mis amig;algun dia voy tener novio dormir junto dia lluvia pero paso vamo para voy quedar con mi amiga;algun dia voy tener novio dormir juntos dias lluvia pero paso vamos para voy quedar con mis amigas;                                   
 \U0001f326  rosario pronostico tiempo extendido fin semana previo fiesta año nuevo  \U0001f327  especialista meteorologia  \U0001f4fb  anticipa como estara tiempo proximos dias  ;1;\u0001f326 rosari pronost tiemp extend fin seman previ fiest año nuev \u0001f327 especial meteorologi \u0001f4fb anticip com estar tiemp prox dias;\u0001f326 rosario pronostico tiempo extendido fin semana previo fiesta año nuevo \u0001f327 especialista meteorologia \u0001f4fb anticipa como estara tiempo proximo dia;  rosario pronostico tiempo extendido fin semana previo fiesta año nuevo   especialista meteorologia   anticipa como estara tiempo proximos dias;\U0001f326                     \U0001f327     \U0001f4fb            
 trueno continuo comienza lluvia    sudeste cordoba oordoñez viene sur  ;1;truen continu comienz lluvi sudest cordob oordoñez vien sur;trueno continuo comienza lluvia sudeste cordoba oordoñez viene sur;trueno continuo comienza lluvia sudeste cordoba oordoñez viene sur;                 
te salvaste no llegue mensaje sino agarraba tornado  ;0;te salv no lleg mensaj sin agarr torn;te salvaste no llegue mensaje sino agarraba tornado;te salvaste no llegue mensaje sino agarraba tornado;               
son   am pronostico anticipa buenos aires cielo nublado con probabilidad lluvias aislada vientos con rafagas  tarde noche  cielo nublado con vientos  rotando e  min     max    buen martes ;1;son am pronost anticip buen air ciel nubl con probabil lluvi aisl vient con rafag tard noch ciel nubl con vient rot e min max buen mart;son am pronostico anticipa bueno aire cielo nublado con probabilidad lluvia aislada viento con rafaga tarde noche cielo nublado con viento rotando e min max buen marte;son am pronostico anticipa buenos aires cielo nublado con probabilidad lluvias aislada vientos con rafagas tarde noche cielo nublado con vientos rotando e min max buen martes;                                                     
ahorrense tweets sobre lluvia concha madres mogolicos mierda ;0;ahorrens tweets sobr lluvi conch madr mogol mierd;ahorrense tweet sobre lluvia concha madre mogolico mierda;ahorrense tweets sobre lluvia concha madres mogolicos mierda;               
  yo estoy rosario  tormenta fue algo impresionante  supuesto bocas tormenta tapadas  socialismo garcha pero culpa gente mugrienta abandonada  fue casi sobrenatural  nunca vi tormenta con tanta violencia  ;1;yo estoy rosari torment fue algo impresion supuest boc torment tap social garch per culp gent mugrient abandon fue casi sobrenatural nunc vi torment con tant violenci;yo estoy rosario tormenta fue algo impresionante supuesto boca tormenta tapada socialismo garcha pero culpa gente mugrienta abandonada fue casi sobrenatural nunca vi tormenta con tanta violencia;yo estoy rosario tormenta fue algo impresionante supuesto bocas tormenta tapadas socialismo garcha pero culpa gente mugrienta abandonada fue casi sobrenatural nunca vi tormenta con tanta violencia;                                                     
ya no se si estar contento llueve refresca estar mal llueve no puede hacer  \U0001f926 \u200d \u2642  ;1;ya no se si estar content lluev refresc estar mal lluev no pued hac \u0001f926 \u200d \u2642;ya no se si estar contento llueve refresca estar mal llueve no puede hacer \u0001f926 \u200d \u2642;ya no se si estar contento llueve refresca estar mal llueve no puede hacer      ;                            \U0001f926 \u200d \u2642
alguien quiere acompañar ver tormenta  unico con problemitas  ;0;algui quier acompañ ver torment unic con problemit;alguien quiere acompañar ver tormenta unico con problemita;alguien quiere acompañar ver tormenta unico con problemitas;               
linda tarde estar acostado mirando como llueve escuchando system of down ;1;lind tard estar acost mir com lluev escuch system of down;linda tarde estar acostado mirando como llueve escuchando system of down;linda tarde estar acostado mirando como llueve escuchando system of down;                     
que cosa hermosa dormir con lluvia  ;0;que cos hermos dorm con lluvi;que cosa hermosa dormir con lluvia;que cosa hermosa dormir con lluvia;           
no hay lluvia pueda parar pasion    hoy mas nunca  abriendo coloso  newell  carajo   hoy juega newells  hoy hay que ganar rojo negro  newells \U0001f534 \u26ab  newells old boys  ;0;no hay lluvi pued par pasion hoy mas nunc abriend colos newell caraj hoy jueg newells hoy hay que gan roj negr newells \u0001f534 \u26ab newells old boys;no hay lluvia pueda parar pasion hoy mas nunca abriendo coloso newell carajo hoy juega newell hoy hay que ganar rojo negro newell \u0001f534 \u26ab newell old boy;no hay lluvia pueda parar pasion hoy mas nunca abriendo coloso newell carajo hoy juega newells hoy hay que ganar rojo negro newells     newells old boys;                                              \U0001f534 \u26ab      
ricardo giacosa  desde  josefina   \u201cen va mes cayeron     lluvia zona  total      año  \u201d  ;1;ricard giacos desd josefin \u201c va mes cayeron lluvi zon total año \u201d;ricardo giacosa desde josefina \u201cen va me cayeron lluvia zona total año \u201d;ricardo giacosa desde josefina   va mes cayeron lluvia zona total año  ;        \u201cen               \u201d
lo unico hace dar cuenta estamos diciembre olor pasto cortados  clima demas cosas debo  igual gracias thor dios trueno ;0;lo unic hac dar cuent estam diciembr olor past cort clim dem cos deb igual graci thor dios truen;lo unico hace dar cuenta estamo diciembre olor pasto cortado clima dema cosa debo igual gracia thor dio trueno;lo unico hace dar cuenta estamos diciembre olor pasto cortados clima demas cosas debo igual gracias thor dios trueno;                                     
me cayo rayo lado casi paro cardiaco ;1;me cay ray lad casi par cardiac;me cayo rayo lado casi paro cardiaco;me cayo rayo lado casi paro cardiaco;             
que lindo como llueve  \U0001f60d ;1;que lind com lluev \u0001f60d;que lindo como llueve \u0001f60d;que lindo como llueve  ;        \U0001f60d
que hermosura ruido truenos rayos unas ganas parta uno \u26c8 \U0001f60d ;0;que hermosur ruid truen ray unas gan part uno \u26c8 \u0001f60d;que hermosura ruido trueno rayo una gana parta uno \u26c8 \u0001f60d;que hermosura ruido truenos rayos unas ganas parta uno    ;                  \u26c8 \U0001f60d
mi vieja piensa estoy loco porque sali patio ver si esas casualidades veia lluvia estrellas  ustedes bien  ;0;mi viej piens estoy loc porqu sali pati ver si esas casual vei lluvi estrell usted bien;mi vieja piensa estoy loco porque sali patio ver si esa casualidade veia lluvia estrella ustede bien;mi vieja piensa estoy loco porque sali patio ver si esas casualidades veia lluvia estrellas ustedes bien;                                 
 ahora marcos escajadillo  secretario proteccion civil provincial   situacion provincia intensas lluvias  noticiero central   ;1;ahor marc escajadill secretari proteccion civil provincial situacion provinci intens lluvi noticier central;ahora marco escajadillo secretario proteccion civil provincial situacion provincia intensa lluvia noticiero central;ahora marcos escajadillo secretario proteccion civil provincial situacion provincia intensas lluvias noticiero central;                         
queres venir ver lluvia estrellas con  helado   \U0001f4ab enviar \U0001f4ab ;0;quer ven ver lluvi estrell con hel \u0001f4ab envi \u0001f4ab;quere venir ver lluvia estrella con helado \u0001f4ab enviar \u0001f4ab;queres venir ver lluvia estrellas con helado   enviar  ;              \U0001f4ab   \U0001f4ab
todo bien con lluvia  pero no puedo salir casa estoy aburriendo  \U0001f612 ;1;tod bien con lluvi per no pued sal cas estoy aburr \u0001f612;todo bien con lluvia pero no puedo salir casa estoy aburriendo \u0001f612;todo bien con lluvia pero no puedo salir casa estoy aburriendo  ;                      \U0001f612
hace toda semana espero tomar sol con karen  llueve  tengo mucho sueño nublado todo dia   \U0001f624 ;0;hac tod seman esper tom sol con kar lluev teng much sueñ nubl tod dia \u0001f624;hace toda semana espero tomar sol con karen llueve tengo mucho sueño nublado todo dia \u0001f624;hace toda semana espero tomar sol con karen llueve tengo mucho sueño nublado todo dia  ;                              \U0001f624
 agarra relampago canta cancion  puto trueno  voy coger \u270a \U0001f3fb ;0;agarr relampag cant cancion put truen voy cog \u270 \u0001f3fb;agarra relampago canta cancion puto trueno voy coger \u270a \u0001f3fb;agarra relampago canta cancion puto trueno voy coger    ;                \u270a \U0001f3fb
y otra cosa mejor lluvia  ella  \U0001f415 \U0001f49c   ;0;y otra cos mejor lluvi ella \u0001f415 \u0001f49c;y otra cosa mejor lluvia ella \u0001f415 \u0001f49c;y otra cosa mejor lluvia ella    ;            \U0001f415 \U0001f49c
con casi      merlo fue zona mas lluvias acumulo durante noviembre  mas informacion  \u27a1    ;1;con casi merl fue zon mas lluvi acumul durant noviembr mas informacion \u27a1;con casi merlo fue zona mas lluvia acumulo durante noviembre mas informacion \u27a1;con casi merlo fue zona mas lluvias acumulo durante noviembre mas informacion  ;                        \u27a1
bueno creo cayo rayo patio mas menos  ;1;buen cre cay ray pati mas men;bueno creo cayo rayo patio mas meno;bueno creo cayo rayo patio mas menos;             
no estes sola lluvia   \U0001f3b6 \U0001f3a7 ;0;no estes sol lluvi \u0001f3b6 \u0001f3a7;no este sola lluvia \u0001f3b6 \u0001f3a7;no estes sola lluvia    ;        \U0001f3b6 \U0001f3a7
perdi celular lluvia eso ir wacha esa ;0;perdi celul lluvi eso ir wach esa;perdi celular lluvia eso ir wacha esa;perdi celular lluvia eso ir wacha esa;             
el cielo cansado ya ver lluvia caer cada dia pasa uno mas parecido ayer no encuentro forma alguna olvidarte porque seguir amandote inevitable  ;0;el ciel cans ya ver lluvi caer cad dia pas uno mas parec ayer no encuentr form algun olvidart porqu segu amandot inevit;el cielo cansado ya ver lluvia caer cada dia pasa uno mas parecido ayer no encuentro forma alguna olvidarte porque seguir amandote inevitable;el cielo cansado ya ver lluvia caer cada dia pasa uno mas parecido ayer no encuentro forma alguna olvidarte porque seguir amandote inevitable;                                             
que buena tormenta dormir toda ;1;que buen torment dorm tod;que buena tormenta dormir toda;que buena tormenta dormir toda;         
adivinen quien va dormir terrible siesta con hermosa lluvia  si  yo  ;1;adivin qui va dorm terribl siest con hermos lluvi si yo;adivinen quien va dormir terrible siesta con hermosa lluvia si yo;adivinen quien va dormir terrible siesta con hermosa lluvia si yo;                     
la lluvia nunca mas ;0;la lluvi nunc mas;la lluvia nunca mas;la lluvia nunca mas;       
me cague calor toda mañana llego casa llueve  joda  ;1;me cag calor tod mañan lleg cas lluev jod;me cague calor toda mañana llego casa llueve joda;me cague calor toda mañana llego casa llueve joda;                 
jugadores rayo vallecano patada mas baja tiene ser altura cuello gracias ;0;jugador ray vallecan pat mas baj tien ser altur cuell graci;jugadore rayo vallecano patada mas baja tiene ser altura cuello gracia;jugadores rayo vallecano patada mas baja tiene ser altura cuello gracias;                     
seguro lluvia estrellas nublado aca como siempre ;0;segur lluvi estrell nubl aca com siempr;seguro lluvia estrella nublado aca como siempre;seguro lluvia estrellas nublado aca como siempre;             
hanna no tiene miedo bombas  solo enoja porque sufre otitis  cuando hay tormentas quiere salir afuera  pero no gusta mojarse   si  tengo perra mas contradictoria hay  ;0;hann no tien mied bomb sol enoj porqu sufr otitis cuand hay torment quier sal afuer per no gust moj si teng perr mas contradictori hay;hanna no tiene miedo bomba solo enoja porque sufre otiti cuando hay tormenta quiere salir afuera pero no gusta mojarse si tengo perra mas contradictoria hay;hanna no tiene miedo bombas solo enoja porque sufre otitis cuando hay tormentas quiere salir afuera pero no gusta mojarse si tengo perra mas contradictoria hay;                                                   
un amigo invito tomar terere siesta  fui casa rayo sol loco estaba cara orto  termine tomando mates con mama hablando pedo hasta hace rato ;0;un amig invit tom terer siest fui cas ray sol loc estab car orto termin tom mat con mam habl ped hast hac rat;un amigo invito tomar terere siesta fui casa rayo sol loco estaba cara orto termine tomando mate con mama hablando pedo hasta hace rato;un amigo invito tomar terere siesta fui casa rayo sol loco estaba cara orto termine tomando mates con mama hablando pedo hasta hace rato;                                               
por favor tormenta no cortes luz \U0001f64f \U0001f3fb \U0001f64f \U0001f3fb ;1;por favor torment no cort luz \u0001f64f \u0001f3fb \u0001f64f \u0001f3fb;por favor tormenta no corte luz \u0001f64f \u0001f3fb \u0001f64f \u0001f3fb;por favor tormenta no cortes luz        ;            \U0001f64f \U0001f3fb \U0001f64f \U0001f3fb
 donaciones nuestros  ciudad san justo estan ayudando vecinos afectados lluvias  desde  vamos realizar campaña provincial donaciones familias afectadas distintas localidades nuestra provincia   ;0;donacion nuestr ciud san just estan ayud vecin afect lluvi desd vam realiz campañ provincial donacion famili afect distint local nuestr provinci;donacione nuestro ciudad san justo estan ayudando vecino afectado lluvia desde vamo realizar campaña provincial donacione familia afectada distinta localidade nuestra provincia;donaciones nuestros ciudad san justo estan ayudando vecinos afectados lluvias desde vamos realizar campaña provincial donaciones familias afectadas distintas localidades nuestra provincia;                                           
odio tanto tormentas  \U0001f622 ;0;odi tant torment \u0001f622;odio tanto tormenta \u0001f622;odio tanto tormentas  ;      \U0001f622
queria acampar mañana pero seguro llueve ;0;queri acamp mañan per segur lluev;queria acampar mañana pero seguro llueve;queria acampar mañana pero seguro llueve;           
 bueno ahora ayuda año viene  haganlo noviembre asi no llueve porque hace varios años venimos con mal clima  ;0;buen ahor ayud año vien haganl noviembr asi no lluev porqu hac vari años ven con mal clim;bueno ahora ayuda año viene haganlo noviembre asi no llueve porque hace vario año venimo con mal clima;bueno ahora ayuda año viene haganlo noviembre asi no llueve porque hace varios años venimos con mal clima;                                   
ni lluvia detiene    felices    williammorris  ;0;ni lluvi detien felic williammorris;ni lluvia detiene felice williammorri;ni lluvia detiene felices williammorris;         
a ver si lluvia deja dar tanta vuelta ;0;a ver si lluvi dej dar tant vuelt;a ver si lluvia deja dar tanta vuelta;a ver si lluvia deja dar tanta vuelta;               
me puedo morir paz  ya vi lluvia estrellas ;0;me pued mor paz ya vi lluvi estrell;me puedo morir paz ya vi lluvia estrella;me puedo morir paz ya vi lluvia estrellas;               
hace minutos vecinos captaron traves fotografia mini tornado toco tierra inmediaciones aero club san francisco  fenomeno propiciado sistema baja presion forma nubes con base baja generan tipo embudos   \U0001f327 \U0001f4a8  ;0;hac minut vecin capt trav fotografi mini torn toc tierr inmedi aer club san francisc fenomen propici sistem baj presion form nub con bas baj gener tip embud \u0001f327 \u0001f4a8;hace minuto vecino captaron trave fotografia mini tornado toco tierra inmediacione aero club san francisco fenomeno propiciado sistema baja presion forma nube con base baja generan tipo embudo \u0001f327 \u0001f4a8;hace minutos vecinos captaron traves fotografia mini tornado toco tierra inmediaciones aero club san francisco fenomeno propiciado sistema baja presion forma nubes con base baja generan tipo embudos    ;                                                        \U0001f327 \U0001f4a8
mi cama lluvia solo  \u2764 ;1;mi cam lluvi sol \u2764;mi cama lluvia solo \u2764;mi cama lluvia solo  ;        \u2764
hasta cuando lluvia calcada concha puta hermana ;1;hast cuand lluvi calc conch put herman;hasta cuando lluvia calcada concha puta hermana;hasta cuando lluvia calcada concha puta hermana;             
que lindo domingo  mama paseando auto con chongo bajo lluvia yo comiendo papas mientras veo serie  \U0001f44d \U0001f3fe ;1;que lind doming mam pas aut con chong baj lluvi yo com pap mientr veo seri \u0001f44d \u0001f3f;que lindo domingo mama paseando auto con chongo bajo lluvia yo comiendo papa mientra veo serie \u0001f44d \u0001f3fe;que lindo domingo mama paseando auto con chongo bajo lluvia yo comiendo papas mientras veo serie    ;                                \U0001f44d \U0001f3fe
esta lluvia no estamos juntos ;1;esta lluvi no estam junt;esta lluvia no estamo junto;esta lluvia no estamos juntos;         
con grupo ya organizamos cenar casa amiga ver lluvia juntos  ;0;con grup ya organiz cen cas amig ver lluvi junt;con grupo ya organizamo cenar casa amiga ver lluvia junto;con grupo ya organizamos cenar casa amiga ver lluvia juntos;                   
la lluvia ve genial desde ventana ;1;la lluvi ve genial desd ventan;la lluvia ve genial desde ventana;la lluvia ve genial desde ventana;           
todo bien amo lluvia pero hermano tengo piano hoy no querias llover no  hora mas tarde lpm ;1;tod bien amo lluvi per herman teng pian hoy no queri llov no hor mas tard lpm;todo bien amo lluvia pero hermano tengo piano hoy no queria llover no hora mas tarde lpm;todo bien amo lluvia pero hermano tengo piano hoy no querias llover no hora mas tarde lpm;                                 
hermosa lluvia vengas dormir conmigo \u2665 ;1;hermos lluvi veng dorm conmig \u2665;hermosa lluvia venga dormir conmigo \u2665;hermosa lluvia vengas dormir conmigo  ;          \u2665
jueguen con lluvia caguense patadas  gracias ;1;jueg con lluvi caguens pat graci;jueguen con lluvia caguense patada gracia;jueguen con lluvia caguense patadas gracias;           
